Project_Name,Country,Project_Type,Announcement_Year,FID_Year,Operation_Year,Project_Status,Estimated_GHG_Reduction
3D DMX ArcelorMittal and IFPEN Dunkirk (full-scale),France,Capture,2019.0,,2025.0,Planned,2.5
3D DMX ArcelorMittal and IFPEN Dunkirk 'REUZE',France,CCU,2022.0,2024.0,2025.0,Planned,1.8
7 Blue Ammonia Facility,Qatar,Full Chain,2022.0,2022.0,2026.0,Under construction,
8Rivers H2 (8RH2) (WY),United States,Capture,2022.0,,,Planned,2.5
Abadi CCS/CCUS,Indonesia,Full chain,2018.0,,2027.0,Planned,3.0
Ackerman Combined Cycle Plant (MS),United States,Capture,2023.0,,,Planned,2.5
Acorn CCS phase 1-Capture at St Fergus,United Kingdom,Capture,2016.0,2024.0,2028.0,Planned,2.5
Acorn CCS phase 1-T&S,United Kingdom,T&S,2016.0,2024.0,2028.0,Planned,
Acorn CCS phase 2,United Kingdom,T&S,2017.0,,,Planned,
Acorn H2,United Kingdom,Capture,2018.0,,2028.0,Planned,2.5
Acorn Isle of Grain to Peterhead shipping,United Kingdom,Transport,2023.0,,,Planned,
Adams Fork Energy clean ammonia project (WV),United States,Capture,2022.0,2024.0,,Planned,2.5
Adbri Project,Australia,Capture,2021.0,,,Planned,2.5
ADM Cedar rapids bioethanol (IA),United States,Capture,2022.0,,,Planned,2.5
ADM Clinton bioethanol (IA),United States,Capture,2022.0,,,Planned,2.5
ADM Decatur Campus CO2 Storage Site Expansion (IL),United States,T&S,2022.0,,2028.0,Planned,
ADM Maroa/Forsyth CO2 Storage Site Development (IL),United States,Storage,2023.0,,2028.0,Planned,
ADNOC CO2 storage hub (Phase 2 of fertiglobe pilot),United Arab Emirates,Storage,2023.0,,2030.0,Planned,
Advanced CO2 Capture from Hydrogen Production Unit at Phillips 66 Rodeo Refinery (CA),United States,Capture,2021.0,,,Planned,2.5
AEB Amsterdam,Netherlands,CCU,2021.0,,2028.0,Planned,1.8
Aemetis CCS (CA),United States,Storage,2021.0,,2024.0,Planned,
Aemetis CCS Keyes facility (CA),United States,Capture,2021.0,,2024.0,Planned,2.5
Aemetis CCS Riverbank facility (CA),United States,Capture,2021.0,,2024.0,Planned,2.5
Air Liquide hydrogen facility Rotterdam,Netherlands,Capture,2012.0,2023.0,2026.0,Under construction,2.5
Air Liquide Shanghai Chemical Industry Park (SCIP) decarbonisation (Shanghai),People's Republic of China,Capture,2022.0,,2028.0,Planned,2.5
Air Products for Exxonmobil Botlek Rotterdam refinery,Netherlands,Capture,2019.0,2023.0,2026.0,Under construction,2.5
AirCapture DACU at Nutrien Kennewick Fertilizer (WA),United States,CCU,2022.0,,,Planned,1.8
AirCapture Nuclear DAC at JM Farley Nuclear (AL),United States,Capture,2022.0,,,Planned,2.5
Airhive Alpha Lab pilot,Canada,CCU,2023.0,,2024.0,Planned,1.8
Aittaluoto power (Pori),Finland,CCU,2022.0,2025.0,2027.0,Planned,1.8
Aker CC Biomass CHP (unknown facility),Germany,Capture,2023.0,,,Planned,2.5
Aker CC mineral production (unknown facilities),United States,Capture,2023.0,,,Planned,2.5
Aker CC power plant Europe (unknown facilities),Unknown,Capture,2023.0,,,Planned,2.5
Aker CC refinery (unknown facility),United States,Capture,2023.0,,,Planned,2.5
Aker CC Swedish energy company (unknown),Sweden,Capture,2023.0,,,Planned,2.5
Aker CC waste to energy Northern Europe (unknown facility),Unknown,Capture,2024.0,,,Planned,2.5
Aker CC WtE e-fuels,Finland,CCU,2023.0,,,Planned,1.8
Alaska Railbelt CCS Project (AK),United States,Storage,2023.0,,,Planned,
Alberta Carbon Grid (ALB) phase 1 (Industrial heartland),Canada,T&S,2021.0,2025.0,2027.0,Planned,
Alberta Carbon Grid (ALB) phase 2,Canada,T&S,2021.0,,,Planned,
Alberta Carbon Trunk Line (ACTL) - Edmonton Connector Phase 2,Canada,Transport,2023.0,2023.0,2024.0,Under construction,
Alberta Carbon Trunk Line (ACTL) (ALB),Canada,Transport,2011.0,2018.0,2020.0,Operational,
Altalto,United Kingdom,Capture,2021.0,,,Planned,2.5
Altera Stella Maris CCS Project Phase 2,Norway,T&S,2020.0,,,Planned,
Aluminium Bahrain MHI capture,Bahrain,Capture,2022.0,,,Planned,2.5
Aluminium Dunkerque feasibility study,France,Capture,2021.0,,,Planned,2.5
Amager Bakke/Amager Resource Centre (ARC),Denmark,Capture,2020.0,,2025.0,Planned,2.5
ANRAV-CCUS (Devnya plant),Bulgaria,Full chain,2022.0,,2028.0,Planned,3.0
Antwerp@C CO2 Export Hub phase 1,Belgium,Transport,2019.0,2024.0,2027.0,Planned,
Antwerp@C CO2 Export Hub phase 2,Belgium,Transport,2019.0,2024.0,2030.0,Planned,
"Appalachian basin storage MoU (OH, PA, WV)",United States,Storage,2022.0,,,Planned,
Aramis CCS storage phase 1,Netherlands,Storage,2019.0,2025.0,2029.0,Planned,
Aramis CCS storage phase 2,Netherlands,Storage,2019.0,,2030.0,Planned,
Aramis CCS transport phase 1,Netherlands,Transport,2019.0,2025.0,2029.0,Planned,
Arcelor LanzaTech Carbalyst (Steelanol) Ghent,Belgium,CCU,2011.0,2015.0,2022.0,Operational,1.8
Arcelor Mittal Air Liquide Low-carbon steel (phase 2?),France,Capture,2020.0,,,Planned,2.5
ARGO waste-to-energy plant,Denmark,Capture,2021.0,,2030.0,Planned,2.5
Aries (LA),United States,Storage,2022.0,,2026.0,Planned,
Arkalon CO2 Compression Facility (KS),United States,Full chain,,,2009.0,Operational,3.0
Arthit offshore gas field CCS,Thailand,Full chain,2021.0,,2027.0,Planned,3.0
Arun CCS,Indonesia,Storage,2022.0,,2029.0,Planned,
